"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 01 20:34:55 CST 2021","Thu Jul 01 20:34:59 CST 2021","4018","testcase","艺画开天_用例002_test","TestCase艺画开天用例002","","","用例002","TestCase ID: 2f2803b8-2c4a-480e-8b8f-f97a37a82def"
"passed","Thu Jul 01 20:34:13 CST 2021","Thu Jul 01 20:34:55 CST 2021","42050","testcase","艺画开天_用例001_test","TestCase艺画开天用例001","","","用例001","TestCase ID: d76b0325-8e56-46aa-aee5-d9ae632e73d2"
